from,to
Steve Wozniak,Mike Markkula
Steve Wozniak,Apple Spirit
Steve Wozniak,Origins
Steve Wozniak,Management
Steve Wozniak,Buildings
Mike Scott,Mike Markkula
Mike Scott,Apple Spirit
Mike Scott,Origins
Mike Scott,Management
Mike Scott,Buildings
Apple Spirit,Origins
Apple Spirit,Management
Apple Spirit,Buildings
Origins,Management
Origins,Buildings
Management,Buildings
